time_stamp,sensor_1,sensor_2,sensor_3,sensor_4
2020/12/17 19:41:30.031,-2938.0,0.0,0.0,-2161.5
2020/12/17 19:41:30.141,-2938.0,0.0,0.0,-2144.0
2020/12/17 19:41:30.254,-2938.0,0.0,0.0,-2140.5
2020/12/17 19:41:30.357,-2936.0,0.0,0.0,-2137.0
2020/12/17 19:41:30.450,-2934.0,0.0,0.0,-2135.5
2020/12/17 19:41:30.558,-2879.5,0.0,0.0,-2134.0
2020/12/17 19:41:30.632,-2825.0,0.0,0.0,-2135.0
2020/12/17 19:41:30.736,-2746.0,0.0,0.0,-2136.0
2020/12/17 19:41:30.813,-2667.0,0.0,0.0,-2117.5
2020/12/17 19:41:30.919,-2610.5,0.0,0.0,-2099.0
2020/12/17 19:41:31.002,-2554.0,0.0,-921.5,-1049.5
2020/12/17 19:41:31.098,-2545.6666666666665,0.0,-1843.0,0.0
2020/12/17 19:41:31.111,-2537.3333333333335,0.0,0.0,-878.0
2020/12/17 19:41:31.194,-2529.0,0.0,0.0,-498.5
2020/12/17 19:41:31.296,-2538.0,0.0,0.0,-119.0
2020/12/17 19:41:31.392,-2547.0,0.0,-644.5,-59.5
2020/12/17 19:41:31.494,-2566.5,0.0,-1289.0,0.0
2020/12/17 19:41:31.595,-2586.0,0.0,-1456.5,0.0
2020/12/17 19:41:31.695,-2554.0,0.0,-1624.0,0.0
2020/12/17 19:41:31.796,-2522.0,0.0,-1687.0,0.0
2020/12/17 19:41:31.906,-2241.0,0.0,-1750.0,0.0
2020/12/17 19:41:31.998,-1960.0,0.0,-1813.6666666666667,0.0
2020/12/17 19:41:32.199,-1373.0,0.0,-1877.3333333333333,0.0
2020/12/17 19:41:32.307,-845.5,0.0,-1941.0,0.0
2020/12/17 19:41:32.393,-318.0,0.0,-1975.5,0.0
2020/12/17 19:41:32.493,-318.0,0.0,-2010.0,0.0
